MLP 0.001 REG: False 56.24 $\pm$ 1.73 
MLP 0.001 ORACLE_REG: 0.01 56.18 $\pm$ 1.66 
MLP 0.001 ORACLE_REG: 0.1 56.26 $\pm$ 1.69 
MLP 0.001 ORACLE_REG: 0.2 56.70 $\pm$ 1.01 
MLP 0.001 ORACLE_REG: 0.4 56.94 $\pm$ 1.19 
