polynormer 0.01 REG: False 76.18 $\pm$ 1.90 
polynormer 0.01 MLP_REG: 0.01 76.28 $\pm$ 1.04 
polynormer 0.01 MLP_REG: 0.1 75.86 $\pm$ 4.18 
polynormer 0.01 MLP_REG: 0.2 76.28 $\pm$ 2.95 
polynormer 0.01 MLP_REG: 0.4 77.42 $\pm$ 1.55 
