MLP 0.001 REG: False 95.60 $\pm$ 0.15 
MLP 0.001 ORACLE_REG: 0.01 95.74 $\pm$ 0.19 
MLP 0.001 ORACLE_REG: 0.1 95.94 $\pm$ 0.14 
MLP 0.001 ORACLE_REG: 0.2 96.20 $\pm$ 0.06 
MLP 0.001 ORACLE_REG: 0.4 96.44 $\pm$ 0.05 
