MLP 0.001 REG: False 91.58 $\pm$ 0.29 
MLP 0.001 ORACLE_REG: 0.01 91.45 $\pm$ 0.26 
MLP 0.001 ORACLE_REG: 0.1 91.75 $\pm$ 0.39 
MLP 0.001 ORACLE_REG: 0.2 92.01 $\pm$ 0.28 
MLP 0.001 ORACLE_REG: 0.4 92.76 $\pm$ 0.32 
