sgformer 0.01 REG: False 38.10 $\pm$ 2.00 
sgformer 0.01 MLP_REG: 0.01 37.16 $\pm$ 1.02 
sgformer 0.01 MLP_REG: 0.1 34.76 $\pm$ 2.19 
sgformer 0.01 MLP_REG: 0.2 36.23 $\pm$ 1.81 
sgformer 0.01 MLP_REG: 0.4 36.86 $\pm$ 1.91 
