MLP 0.001 REG: False 73.32 $\pm$ 1.14 
MLP 0.001 ORACLE_REG: 0.01 73.44 $\pm$ 0.95 
MLP 0.001 ORACLE_REG: 0.1 73.42 $\pm$ 1.05 
MLP 0.001 ORACLE_REG: 0.2 73.56 $\pm$ 0.88 
MLP 0.001 ORACLE_REG: 0.4 73.90 $\pm$ 0.92 
