MLP 0.001 REG: False 84.34 $\pm$ 0.28 
MLP 0.001 ORACLE_REG: 0.01 84.30 $\pm$ 0.23 
MLP 0.001 ORACLE_REG: 0.1 85.11 $\pm$ 0.36 
MLP 0.001 ORACLE_REG: 0.2 85.58 $\pm$ 0.16 
MLP 0.001 ORACLE_REG: 0.4 86.80 $\pm$ 0.38 
