MLP 0.01 REG: False 40.56 $\pm$ 1.30 
MLP 0.01 ORACLE_REG: 0.01 40.16 $\pm$ 0.99 
MLP 0.01 ORACLE_REG: 0.1 40.65 $\pm$ 1.31 
MLP 0.01 ORACLE_REG: 0.2 40.38 $\pm$ 1.37 
MLP 0.01 ORACLE_REG: 0.4 40.33 $\pm$ 1.06 
