polynormer 0.01 REG: False 88.64 $\pm$ 0.74 
polynormer 0.01 MLP_REG: 0.01 89.20 $\pm$ 1.01 
polynormer 0.01 MLP_REG: 0.1 88.92 $\pm$ 1.05 
polynormer 0.01 MLP_REG: 0.2 89.18 $\pm$ 1.15 
polynormer 0.01 MLP_REG: 0.4 90.06 $\pm$ 0.84 
