MLP 0.001 REG: False 54.82 $\pm$ 1.82 
MLP 0.001 ORACLE_REG: 0.01 54.98 $\pm$ 2.08 
MLP 0.001 ORACLE_REG: 0.1 55.92 $\pm$ 1.59 
MLP 0.001 ORACLE_REG: 0.2 56.26 $\pm$ 1.73 
MLP 0.001 ORACLE_REG: 0.4 58.44 $\pm$ 1.55 
