MLP 0.001 REG: False 94.62 $\pm$ 0.21 
MLP 0.001 ORACLE_REG: 0.01 94.68 $\pm$ 0.18 
MLP 0.001 ORACLE_REG: 0.1 94.63 $\pm$ 0.14 
MLP 0.001 ORACLE_REG: 0.2 94.80 $\pm$ 0.24 
MLP 0.001 ORACLE_REG: 0.4 95.13 $\pm$ 0.19 
