polynormer 0.01 REG: False 74.41 $\pm$ 1.44 
polynormer 0.01 MLP_REG: 0.01 74.50 $\pm$ 1.08 
polynormer 0.01 MLP_REG: 0.1 73.53 $\pm$ 1.02 
polynormer 0.01 MLP_REG: 0.2 73.35 $\pm$ 0.92 
polynormer 0.01 MLP_REG: 0.4 75.24 $\pm$ 2.33 
