polynormer 0.01 REG: False 70.16 $\pm$ 3.22 
polynormer 0.01 MLP_REG: 0.01 70.68 $\pm$ 3.34 
polynormer 0.01 MLP_REG: 0.1 68.44 $\pm$ 5.04 
polynormer 0.01 MLP_REG: 0.2 74.10 $\pm$ 2.79 
polynormer 0.01 MLP_REG: 0.4 71.08 $\pm$ 3.22 
