MLP 0.001 REG: False 66.40 $\pm$ 0.25 
MLP 0.001 ORACLE_REG: 0.01 66.37 $\pm$ 0.21 
MLP 0.001 ORACLE_REG: 0.1 66.29 $\pm$ 0.24 
MLP 0.001 ORACLE_REG: 0.2 66.41 $\pm$ 0.25 
MLP 0.001 ORACLE_REG: 0.4 66.27 $\pm$ 0.32 
