condition,acc_mean,acc_std,fro_mean,fro_std
baseline,78.33333333333333,0.771722460186015,0.102096559360606,0.00959232942109958
mlp_reg λ=0.01,78.46666666666665,0.6798692684790412,0.10668987931709752,0.006236991008794001
mlp_reg λ=0.1,78.93333333333334,0.8956685895029622,0.1010856466934914,0.008752041372477953
mlp_reg λ=0.2,79.00000000000001,0.48989794855663676,0.09338038889334167,0.010463910998096392
mlp_reg λ=0.4,80.06666666666666,0.7845734863959902,0.08750313575241998,0.0032902508451877277
